variant,feature,winner_model,importance_mean_nonneg,importance_rank,ablation_delta_auc_mean,stability_score,winner_model_reliability_score,FRS,FRS_rank,feature_class
FULL,bb,LR_L1,0.0,8.0,0.3338095238095238,0.48623541219920996,0.9465618089220617,0.4290394232713221,15.0,HIDDEN_SIGNAL
FULL,klop,LR_L1,0.0,8.0,0.3142857142857145,0.48623541219920996,0.9465618089220617,0.41609750407940305,16.0,HIDDEN_SIGNAL
FULL,stymulator,LR_L1,0.0,8.0,0.31285714285714294,0.48623541219920996,0.9465618089220617,0.4151505343824333,17.0,HIDDEN_SIGNAL
FULL,wrodzona_wada_serca,LR_L1,0.0,8.0,0.2990476190476191,0.48623541219920996,0.9465618089220617,0.4059964939783928,18.0,LOW_SIGNAL
FULL,cukrzyca_dm,LR_L1,0.0,8.0,0.2957142857142858,0.48623541219920996,0.9465618089220617,0.40378689801879697,19.0,LOW_SIGNAL
FULL,ile_lat_1,LR_L1,0.0,8.0,0.2723809523809524,0.48623541219920996,0.9465618089220617,0.38831972630162515,20.0,LOW_SIGNAL
FULL,nadcisnienie_tetnicze_nt,LR_L1,0.0,8.0,0.3114285714285715,0.34480844818845463,0.9465618089220617,0.34349008268008585,21.0,HIDDEN_SIGNAL
FULL,wbc_przyjecie,LR_L1,0.0001904761904761,7.0,,0.5618071610130573,0.9465618089220617,0.28139675821489596,22.0,UNRESOLVED
FULL,hdl,LR_L1,0.0,8.0,,0.48753367623689253,0.9465618089220617,0.24376683811844627,23.0,UNRESOLVED
FULL,ace_i,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,czy_pali,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,gfr_min,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,hb_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,hba1c,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,ht_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,ile_lat_pali,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,krwawienie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,leukocytoza_przyjecie_10000,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,mpv_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,nabyta_wada_serca,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,noac,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,obwod_bioder,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,otylosc_bmi_30,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,p_lcr_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,pct_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,pdw_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,plt_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,rbc_przyjecie,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,trijglicerydy_tg,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,wzrost_cm,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,zaburzenia_homeostazy_glukozy_6,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,zapalenie_miesnia_serca,LR_L1,0.0,8.0,,0.48623541219920996,0.9465618089220617,0.243117706099605,24.0,UNRESOLVED
FULL,ldl,LR_L1,0.0,8.0,,0.46309977491747634,0.9465618089220617,0.23154988745873817,25.0,UNRESOLVED
FULL,il_6_pg_ml,LR_L1,0.0,8.0,,0.4623275527526001,0.9465618089220617,0.23116377637630006,26.0,UNRESOLVED
FULL,cholesterol_calkowity_tc,LR_L1,0.0,8.0,,0.46129792319943186,0.9465618089220617,0.23064896159971596,27.0,UNRESOLVED
FULL,non_hdl_calkowity_hdl,LR_L1,0.0,8.0,,0.46129792319943186,0.9465618089220617,0.23064896159971596,27.0,UNRESOLVED
FULL,wyniki_klotho_pg_ml,LR_L1,0.0,8.0,,0.46129792319943186,0.9465618089220617,0.23064896159971596,27.0,UNRESOLVED
FULL,zaburzenia_rytmu,LR_L1,0.0,8.0,,0.30687951888771936,0.9465618089220617,0.15343975944385968,28.0,UNRESOLVED
FULL,waga_kg,LR_L1,0.0,8.0,,0.10689061893842178,0.9465618089220617,0.05344530946921089,29.0,UNRESOLVED
FULL,wiek_w_momencie_zbiorki,LR_L1,0.0,8.0,,0.0,0.9465618089220617,0.0,30.0,UNRESOLVED
