variant,winner_model,feature,importance_mean_nonneg,ablation_delta_auc_mean,importance_score,ablation_score,stability_score,FRS,contradiction_abs,contradiction_signed,feature_class,contradiction_class,complete_case_flag
CLINICAL,RF_SHALLOW,pct_przyjecie,0.0,,0.0,,0.62686041219921,0.13871563644284,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,trijglicerydy_tg,0.0,,0.0,,0.61123541219921,0.1233027879491911,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,kwas_moczowy,0.0,,0.0,,0.59561041219921,0.1078899394555422,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,rbc_przyjecie,0.0,,0.0,,0.57998541219921,0.0924770909618933,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,p_lcr_przyjecie,0.0,,0.0,,0.56436041219921,0.0770642424682444,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,plt_przyjecie,0.0,,0.0,,0.54873541219921,0.0616513939745955,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,klop,0.0,,0.0,,0.53311041219921,0.0462385454809466,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,ht_przyjecie,0.0,,0.0,,0.51748541219921,0.0308256969872977,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,pdw_przyjecie,0.0,,0.0,,0.50186041219921,0.0154128484936488,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,hb_przyjecie,0.0,,0.0,,0.4862354121992099,0.0,,,UNRESOLVED,UNRESOLVED,0
FULL,LR_L1,92_kda_pro_mmp_9,0.1931111111111111,0.0533333333333334,1.0,0.0,1.0,1.0,1.0,1.0,SPURIOUS_IMPORTANCE,ATTRIBUTION_EXCESS,1
FULL,LR_L1,arb,0.0,0.4304761904761905,0.0,1.0,0.4862354121992099,0.493117706099605,1.0,-1.0,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,ile_lat_mizdzyca_konczyn,0.0,0.3633333333333334,0.0,0.8219696969696969,0.4862354121992099,0.4486101303420292,0.8219696969696969,-0.8219696969696969,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,wyniki_fgf23_pg_ml,0.0004761904761904,0.3485714285714287,0.0024658885418375,0.7828282828282831,0.6937993212482854,0.7938396756021324,0.7803623942864456,-0.7803623942864456,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,crp_5_zapalenie,0.0,0.3452380952380953,0.0,0.773989898989899,0.4862354121992099,0.4366151808470797,0.773989898989899,-0.773989898989899,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,ile_lat_miazdzyca_t_szyjnych,0.0,0.3385714285714286,0.0,0.7563131313131313,0.4862354121992099,0.4321959889278878,0.7563131313131313,-0.7563131313131313,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,petlowy,0.0,0.3371428571428573,0.0,0.7525252525252527,0.4862354121992099,0.4312490192309182,0.7525252525252527,-0.7525252525252527,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,crt_d_device,0.0,0.3366666666666668,0.0,0.7512626262626263,0.4862354121992099,0.4309333626652615,0.7512626262626263,-0.7512626262626263,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,cad,0.0,0.3361904761904764,0.0,0.7500000000000002,0.4862354121992099,0.430617706099605,0.7500000000000002,-0.7500000000000002,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,kwas_moczowy,0.0,0.3347619047619049,0.0,0.7462121212121214,0.4862354121992099,0.4296707364026353,0.7462121212121214,-0.7462121212121214,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,bb,0.0,0.3338095238095238,0.0,0.7436868686868683,0.4862354121992099,0.4290394232713221,0.7436868686868683,-0.7436868686868683,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,bmi,0.0002857142857142,0.3300000000000002,0.0014795331251023,0.7335858585858588,0.627966665321025,0.4981195638695283,0.7321063254607565,-0.7321063254607565,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,klop,0.0,0.3142857142857145,0.0,0.6919191919191923,0.4862354121992099,0.416097504079403,0.6919191919191923,-0.6919191919191923,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,stymulator,0.0,0.3128571428571429,0.0,0.6881313131313131,0.4862354121992099,0.4151505343824333,0.6881313131313131,-0.6881313131313131,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,nadcisnienie_tetnicze_nt,0.0,0.3114285714285715,0.0,0.6843434343434343,0.3448084481884546,0.3434900826800858,0.6843434343434343,-0.6843434343434343,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
FULL,LR_L1,wrodzona_wada_serca,0.0,0.2990476190476191,0.0,0.6515151515151514,0.4862354121992099,0.4059964939783928,0.6515151515151514,-0.6515151515151514,LOW_SIGNAL,LOW_EVIDENCE,1
FULL,LR_L1,emmprin,0.0035238095238095,0.3028571428571429,0.0182475752096004,0.6616161616161615,0.7649016291173348,0.5569786425675081,0.6433685864065611,-0.6433685864065611,LOW_SIGNAL,LOW_EVIDENCE,1
FULL,LR_L1,cukrzyca_dm,0.0,0.2957142857142858,0.0,0.6426767676767677,0.4862354121992099,0.4037868980187969,0.6426767676767677,-0.6426767676767677,LOW_SIGNAL,LOW_EVIDENCE,1
FULL,LR_L1,ile_lat_1,0.0,0.2723809523809524,0.0,0.5808080808080806,0.4862354121992099,0.3883197263016251,0.5808080808080806,-0.5808080808080806,LOW_SIGNAL,LOW_EVIDENCE,1
FULL,LR_L1,72_kda_pro_mmp_2,0.0308412698412698,0.1361904761904764,0.1597073812263683,0.21969696969697,0.7324364185514946,0.5009961423131739,0.05998958847060171,-0.05998958847060171,LOW_SIGNAL,LOW_EVIDENCE,1
